[2018-03-07 00:40:45]	Open file failed 
[2018-03-07 00:40:46]	D:\3.txt
[2018-03-07 00:49:02]	Open file failed 
[2018-03-07 00:49:02]	D:\3.txt
[2018-03-07 00:55:39]	Open file failed 
[2018-03-07 00:55:39]	D:\3.txt
[2018-03-07 00:56:26]	Open file failed 
[2018-03-07 00:56:26]	D:\3.txt
[2018-03-07 00:56:48]	Open file failed 
[2018-03-07 00:56:48]	D:\3.txt
[2018-03-07 00:58:35]	Open file failed 
[2018-03-07 00:58:35]	D:\3.txt
[2018-03-07 00:59:02]	Open file failed 
[2018-03-07 00:59:02]	D:\3.txt
[2018-03-07 00:59:33]	Open file failed 
[2018-03-07 00:59:33]	D:\3.txt
[2018-03-07 01:00:39]	Open file failed 
[2018-03-07 01:00:39]	D:\3.txt
[2018-03-07 01:01:15]	Open file failed 
[2018-03-07 01:01:15]	D:\3.txt
[2018-03-07 01:02:29]	Open file failed 
[2018-03-07 01:02:29]	D:\3.txt
[2018-03-07 01:06:55]	Open file failed 
[2018-03-07 01:06:55]	D:\3.txt
[2018-03-07 01:17:11]	Open file failed 
[2018-03-07 01:17:11]	D:\3.txt
[2018-03-07 09:20:27]	Open file failed 
[2018-03-07 09:20:27]	D:\3.txt
[2018-03-07 15:52:24]	Other thread is under initialization 
